,Title,Author,Avg_rating,Ratings,Price
0,Everything Happens for a Reason: And Other Lies I've Loved,"Bowler, Kate",3.80,"1,887 ratings",₹454.00
1,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,"Miller, Donald",3.90,791 ratings,₹500.00
2,The Pursuit of God: The Human Thirst for the Divine,"Tozer, A.W.",4.35,"3,292 ratings",
3,The Reason for God: Belief in an Age of Skepticism,"Keller, Timothy J.",4.18,"3,027 ratings","₹1,125.00"
4,God Bless This Mess: Learning to Live and Love Through Life's Best (and Worst) Moments,"Brown, Hannah",3.82,635 ratings,"₹1,099.00"
5,Crazy Love: Overwhelmed by a Relentless God,"Chan, Francis",4.15,"3,710 ratings","₹1,152.00"
6,The Screwtape Letters,"Lewis, C.S.",4.24,"8,426 ratings",₹284.00
7,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,"ten Boom, Corrie",4.43,"2,061 ratings",
8,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,"Burpo, Todd",4.01,"13,828 ratings",
